Title,Field
Hiding behind riches,Finance
Building a city from poverty,Economics
Anonymity during journalism,Journalism
Strength of web-like chemical,Chemistry
Strength of web-like chemical,Physics
Elasticity of athletic clothes,Chemistry
Elasticity of athletic clothes,Physics
Possibility of time travel with eigenvectors,Electrical Engineering
Possibility of time travel with eigenvectors,Physics
Nanoparticles in clothing,Physics
Adapting to the 21st Century,History
Secrets from the second world war,History
Finding missing heroes of the war,History
Important women during the war,History
Thermal engine for flying cars,Physics
Weaponary in the civil war,History
Anlysics of assembled attacks,History
Role of language knowledge in communication,Linguistics
Role of language knowledge in communication,History
Good effects of gamma radiation,Physics
Coordination of muscle movement and blinking for accuracy,Biology
Intergalactic travel through wormhole,Physics
Successful counts of cache hits,Computer Science
Possibility of time travel with pimp particles,Physics
Mimicing limb regeneration from lizard dna,Biology
Efficiency of extra limbs in a human body,Biology
Muscle movements in artificial limbs,Electrical Engineering
Integratic technology with brain waves,Computer Science
Integratic technology with brain waves,Electrical Engineering